,input,input_type,values_type,size
14142,"[4, 11, 14, 6, 3, 8, 9, 10]",<class 'list'>,<class 'int'>,8
14143,"[5, 5, 14, 3, 5, 12]",<class 'list'>,<class 'int'>,6
14144,"[1, 9, 14, 2, 14, 3, 14, 0, 0, 1, 5, 13, 3]",<class 'list'>,<class 'int'>,13
14145,"[14, 7, 0, 13, 13, 9, 14, 4]",<class 'list'>,<class 'int'>,8
14146,"[5, 12, 13, 3, 13]",<class 'list'>,<class 'int'>,5
14147,"[1, 8, 1, 0, 2, 0, 5, 10, 11, 11, 0, 5, 13]",<class 'list'>,<class 'int'>,13
14148,"[0, 3, 5, 11, 8, 11, 6, 14, 0, 5, 10, 5, 14, 9]",<class 'list'>,<class 'int'>,14
14149,"[10, 9, 12, 13, 12, 2]",<class 'list'>,<class 'int'>,6
14150,"[7, 5, 6, 10, 8, 1, 11, 8, 11, 14, 1, 3, 4]",<class 'list'>,<class 'int'>,13
14151,"[3, 1, 10, 0, 4]",<class 'list'>,<class 'int'>,5
14152,"[14, 4, 7, 1, 4, 9, 9, 2, 8, 4, 10, 3]",<class 'list'>,<class 'int'>,12
14153,"[14, 2, 10, 7]",<class 'list'>,<class 'int'>,4
14154,"[10, 0, 2, 2]",<class 'list'>,<class 'int'>,4
14155,"[13, 8, 13, 14, 7]",<class 'list'>,<class 'int'>,5
14156,"[4, 4, 1, 1, 8, 3, 6, 10, 0, 8, 0, 8]",<class 'list'>,<class 'int'>,12
14157,"[5, 12, 14, 2, 12, 14, 12, 6, 12]",<class 'list'>,<class 'int'>,9
14158,"[9, 14, 7, 10, 5, 13, 6, 9, 4]",<class 'list'>,<class 'int'>,9
14159,"[2, 12, 4, 2, 14, 5, 14, 0, 10, 5]",<class 'list'>,<class 'int'>,10
14160,"[2, 7, 2, 6, 2]",<class 'list'>,<class 'int'>,5
14161,"[6, 12, 3, 3, 6, 7, 10, 5, 0]",<class 'list'>,<class 'int'>,9
14162,"[13, 11, 5, 2, 8, 8, 0, 0, 4, 11, 8]",<class 'list'>,<class 'int'>,11
14163,"[0, 9, 14, 0, 3, 5, 12]",<class 'list'>,<class 'int'>,7
14164,"[12, 14, 8]",<class 'list'>,<class 'int'>,3
14165,"[10, 6, 6, 1, 9, 3, 6, 0, 3]",<class 'list'>,<class 'int'>,9
14166,"[0, 14, 11, 5, 1]",<class 'list'>,<class 'int'>,5
14167,"[5, 13, 7, 8, 1, 11, 13, 12]",<class 'list'>,<class 'int'>,8
14168,"[14, 7, 8, 8, 2, 13, 4, 5, 1, 5, 3, 2, 5, 6]",<class 'list'>,<class 'int'>,14
14169,"[7, 13, 8, 2]",<class 'list'>,<class 'int'>,4
14170,"[7, 8, 1, 1, 6, 13, 2, 14, 2, 7, 6, 7]",<class 'list'>,<class 'int'>,12
14171,"[14, 9, 10, 10, 9, 14, 1]",<class 'list'>,<class 'int'>,7
14172,"[5, 0, 2, 0, 4, 0]",<class 'list'>,<class 'int'>,6
14173,"[6, 14, 3, 11, 4]",<class 'list'>,<class 'int'>,5
14174,"[4, 8, 2, 1, 1, 5, 1, 9, 7, 6, 13, 3, 4, 6]",<class 'list'>,<class 'int'>,14
14175,"[12, 12, 4, 13, 12, 9, 8, 14]",<class 'list'>,<class 'int'>,8
14176,"[10, 1, 14, 3, 1, 0, 14, 4, 14]",<class 'list'>,<class 'int'>,9
14177,"[3, 12, 12, 3, 1, 1, 1, 3, 2, 2, 13]",<class 'list'>,<class 'int'>,11
14178,"[14, 8, 5]",<class 'list'>,<class 'int'>,3
14179,"[4, 3, 8, 3, 7, 3, 9, 14, 7, 7, 9]",<class 'list'>,<class 'int'>,11
14180,"[14, 8, 9, 7, 7, 1, 8, 2, 2, 6, 6]",<class 'list'>,<class 'int'>,11
14181,"[8, 0, 7, 0, 0, 1]",<class 'list'>,<class 'int'>,6
14182,"[13, 14, 5, 14, 2, 11, 0, 0, 9, 0]",<class 'list'>,<class 'int'>,10
14183,"[12, 14, 1, 10, 5]",<class 'list'>,<class 'int'>,5
14184,"[10, 6, 8, 14, 3, 12]",<class 'list'>,<class 'int'>,6
14185,"[6, 2, 0, 1, 3, 11, 5, 14, 10, 8]",<class 'list'>,<class 'int'>,10
14186,"[5, 4, 5]",<class 'list'>,<class 'int'>,3
14187,"[12, 2, 5, 3, 4, 1]",<class 'list'>,<class 'int'>,6
14188,"[0, 5, 13, 7, 1, 8, 12, 10, 14, 4, 3]",<class 'list'>,<class 'int'>,11
14189,"[5, 7, 5, 10, 14, 10, 14, 10]",<class 'list'>,<class 'int'>,8
14190,"[10, 6, 12, 6, 7, 7, 12, 7, 14, 4, 0, 0]",<class 'list'>,<class 'int'>,12
14191,"[3, 8, 3, 6, 2, 4, 4, 1]",<class 'list'>,<class 'int'>,8
14192,"[14, 4, 12, 10, 8, 9]",<class 'list'>,<class 'int'>,6
14193,"[12, 8, 13, 12]",<class 'list'>,<class 'int'>,4
14194,"[9, 1, 4, 0, 3, 5]",<class 'list'>,<class 'int'>,6
14195,"[6, 1, 8, 4, 4, 14, 8, 10]",<class 'list'>,<class 'int'>,8
14196,"[14, 6, 12, 12, 6, 8, 1, 6, 5, 0, 10, 1, 1]",<class 'list'>,<class 'int'>,13
14197,"[11, 3, 2]",<class 'list'>,<class 'int'>,3
14198,"[0, 7, 6, 5, 12, 0, 12, 4, 3, 13, 6]",<class 'list'>,<class 'int'>,11
14199,"[3, 4, 0, 9, 3, 4, 7, 1, 4]",<class 'list'>,<class 'int'>,9
14200,"[2, 5, 9, 14]",<class 'list'>,<class 'int'>,4
14201,"[14, 10, 7, 1, 0, 14, 2, 1]",<class 'list'>,<class 'int'>,8
14202,"[11, 14, 6, 14, 3]",<class 'list'>,<class 'int'>,5
14203,"[9, 3, 6, 7, 4, 4, 5, 10, 10, 2, 9, 7]",<class 'list'>,<class 'int'>,12
14204,"[13, 11, 4, 3, 6, 1, 12, 0, 7, 11, 7, 13, 8, 1]",<class 'list'>,<class 'int'>,14
14205,"[8, 5, 13, 12, 7, 14, 10]",<class 'list'>,<class 'int'>,7
14206,"[5, 0, 6, 11, 9]",<class 'list'>,<class 'int'>,5
14207,"[14, 6, 12, 6, 13, 5, 4]",<class 'list'>,<class 'int'>,7
14208,"[10, 10, 11, 4, 13, 10, 4, 2, 0, 11]",<class 'list'>,<class 'int'>,10
14209,"[7, 6, 12, 3]",<class 'list'>,<class 'int'>,4
14210,"[6, 10, 1, 9, 0, 14, 8, 13, 12, 4, 1, 8, 4, 11]",<class 'list'>,<class 'int'>,14
14211,"[14, 4, 13, 3, 6, 6, 8, 3, 8, 11, 2, 9, 2, 13]",<class 'list'>,<class 'int'>,14
14212,"[1, 13, 13, 14, 9, 12, 5, 7, 14, 13, 10, 5, 1]",<class 'list'>,<class 'int'>,13
14213,"[0, 11, 5, 14, 1]",<class 'list'>,<class 'int'>,5
14214,"[10, 10, 5, 10, 3, 13, 0, 10, 7, 4, 7]",<class 'list'>,<class 'int'>,11
14215,"[9, 6, 9, 4, 14, 6, 2, 3, 4]",<class 'list'>,<class 'int'>,9
14216,"[10, 10, 6, 1, 13, 7, 0, 14, 3, 9, 0]",<class 'list'>,<class 'int'>,11
14217,"[5, 14, 7, 9, 9, 2, 11, 13, 1, 11, 5]",<class 'list'>,<class 'int'>,11
14218,"[14, 13, 4, 11, 14]",<class 'list'>,<class 'int'>,5
14219,"[10, 2, 6, 11, 11, 5, 3]",<class 'list'>,<class 'int'>,7
14220,"[8, 14, 0, 11, 9, 10, 10, 12, 2, 1, 10, 13, 5, 9]",<class 'list'>,<class 'int'>,14
14221,"[13, 3, 4, 8, 13, 14, 3, 3, 4]",<class 'list'>,<class 'int'>,9
14222,"[8, 11, 2, 4, 13, 13, 3, 2, 5, 13]",<class 'list'>,<class 'int'>,10
14223,"[10, 13, 7, 0, 0, 3, 0, 12, 3, 11, 2]",<class 'list'>,<class 'int'>,11
14224,"[7, 8, 4, 2, 10, 14, 10, 6, 14]",<class 'list'>,<class 'int'>,9
14225,"[7, 8, 5, 11, 8, 13, 7, 0, 7, 1]",<class 'list'>,<class 'int'>,10
14226,"[2, 7, 8, 11, 10, 4, 2, 12]",<class 'list'>,<class 'int'>,8
14227,"[13, 5, 6, 0, 0, 0, 9, 3, 10, 12, 12, 10, 9, 13]",<class 'list'>,<class 'int'>,14
14228,"[5, 11, 14, 12, 0, 0, 6, 4, 4, 14]",<class 'list'>,<class 'int'>,10
14229,"[1, 12, 0, 8, 3, 0, 11, 14, 14, 10, 1, 6]",<class 'list'>,<class 'int'>,12
14230,"[13, 6, 8, 4, 8, 1, 11, 11, 13, 0, 5, 14, 12, 7]",<class 'list'>,<class 'int'>,14
14231,"[13, 7, 4, 14, 5, 5, 9, 14, 13, 12, 11, 5]",<class 'list'>,<class 'int'>,12
14232,"[2, 12, 3, 10, 13, 14, 0, 11, 13, 5, 0]",<class 'list'>,<class 'int'>,11
14233,"[1, 0, 6, 2, 7]",<class 'list'>,<class 'int'>,5
14234,"[2, 10, 6, 6, 3]",<class 'list'>,<class 'int'>,5
14235,"[10, 11, 3, 2, 9]",<class 'list'>,<class 'int'>,5
14236,"[10, 5, 14, 4, 13, 10, 4, 6, 5, 12, 11, 8, 10, 9]",<class 'list'>,<class 'int'>,14
14237,"[13, 13, 9, 9, 10, 7, 5, 11, 2, 14]",<class 'list'>,<class 'int'>,10
14238,"[7, 1, 11, 10, 6, 14, 4, 11, 11, 12, 3, 11, 6]",<class 'list'>,<class 'int'>,13
14239,"[3, 13, 2, 5, 12, 1, 11, 12]",<class 'list'>,<class 'int'>,8
14240,"[14, 8, 8]",<class 'list'>,<class 'int'>,3
14241,"[13, 8, 13, 11, 12, 7, 6, 10, 10, 14, 13, 7, 3]",<class 'list'>,<class 'int'>,13
14242,"[11, 6, 8, 10, 9, 1, 8]",<class 'list'>,<class 'int'>,7
14243,"[6, 3, 4, 12, 8, 8, 5]",<class 'list'>,<class 'int'>,7
14244,"[3, 12, 1, 12, 13, 1, 10, 14, 6]",<class 'list'>,<class 'int'>,9
14245,"[8, 3, 0, 2, 3, 10, 11]",<class 'list'>,<class 'int'>,7
14246,"[8, 7, 5, 14, 8, 7, 4, 5, 4]",<class 'list'>,<class 'int'>,9
14247,"[3, 8, 9, 5, 9, 9, 14, 3, 6, 0, 1, 12, 2]",<class 'list'>,<class 'int'>,13
14248,"[1, 13, 7, 3, 6, 9]",<class 'list'>,<class 'int'>,6
14249,"[6, 2, 12]",<class 'list'>,<class 'int'>,3
14250,"[11, 14, 0, 6, 8, 13, 7]",<class 'list'>,<class 'int'>,7
14251,"[13, 5, 4, 9, 2, 4, 2, 9, 11, 4, 12, 13, 4]",<class 'list'>,<class 'int'>,13
14252,"[11, 14, 1, 11, 1, 3, 12, 7, 1, 6, 13, 1]",<class 'list'>,<class 'int'>,12
14253,"[6, 2, 14]",<class 'list'>,<class 'int'>,3
14254,"[11, 5, 14, 0, 10, 7, 2, 12, 2, 5, 2, 8]",<class 'list'>,<class 'int'>,12
14255,"[14, 2, 1, 11, 10, 8, 1, 4, 14, 1, 5]",<class 'list'>,<class 'int'>,11
14256,"[11, 4, 12, 9, 5, 11, 3, 7, 1, 8, 13]",<class 'list'>,<class 'int'>,11
14257,"[1, 11, 10]",<class 'list'>,<class 'int'>,3
14258,"[13, 12, 4, 8, 4, 6, 0]",<class 'list'>,<class 'int'>,7
14259,"[5, 6, 14, 13, 9, 2, 1, 3, 5, 14, 2, 12, 9]",<class 'list'>,<class 'int'>,13
14260,"[6, 2, 7, 7, 14, 6, 4, 7, 10, 2, 0, 3, 6]",<class 'list'>,<class 'int'>,13
14261,"[8, 1, 9, 14, 5, 3, 8, 0, 4, 4, 6, 8, 7, 8]",<class 'list'>,<class 'int'>,14
14262,"[4, 3, 3, 0, 7, 13, 10, 10, 13, 6, 5, 11, 5, 0]",<class 'list'>,<class 'int'>,14
14263,"[2, 9, 2, 14, 12]",<class 'list'>,<class 'int'>,5
14264,"[6, 4, 8, 1, 0, 7, 7, 11, 3, 0, 6, 7, 11, 0]",<class 'list'>,<class 'int'>,14
14265,"[4, 1, 13, 3, 8, 6, 6, 12, 4, 12, 8, 4, 8]",<class 'list'>,<class 'int'>,13
14266,"[7, 7, 12]",<class 'list'>,<class 'int'>,3
14267,"[11, 12, 7, 4]",<class 'list'>,<class 'int'>,4
14268,"[3, 14, 7, 3, 5, 4]",<class 'list'>,<class 'int'>,6
14269,"[9, 13, 0]",<class 'list'>,<class 'int'>,3
14270,"[6, 8, 5, 8, 4, 6, 10, 14, 8, 0, 14]",<class 'list'>,<class 'int'>,11
14271,"[14, 3, 6, 6, 6, 2, 1, 3, 8, 6, 2]",<class 'list'>,<class 'int'>,11
14272,"[2, 3, 6, 8, 3, 6, 9, 12, 5, 11, 1, 13]",<class 'list'>,<class 'int'>,12
14273,"[11, 4, 7, 11, 6, 12, 14, 5, 3, 9, 11]",<class 'list'>,<class 'int'>,11
14274,"[0, 12, 7, 0, 12, 2, 14, 2]",<class 'list'>,<class 'int'>,8
14275,"[12, 12, 10]",<class 'list'>,<class 'int'>,3
14276,"[11, 2, 9, 0, 7, 13, 14, 13]",<class 'list'>,<class 'int'>,8
14277,"[2, 6, 5, 7, 12, 4, 9, 11, 12, 9, 14, 7, 1]",<class 'list'>,<class 'int'>,13
14278,"[8, 12, 13]",<class 'list'>,<class 'int'>,3
14279,"[0, 11, 11, 7, 4, 5, 10, 9, 0, 13]",<class 'list'>,<class 'int'>,10
14280,"[12, 13, 12, 14, 4, 9, 8, 5]",<class 'list'>,<class 'int'>,8
14281,"[0, 2, 10, 6, 6, 12, 0, 11, 11]",<class 'list'>,<class 'int'>,9
14282,"[3, 8, 4, 13, 5]",<class 'list'>,<class 'int'>,5
14283,"[6, 14, 1, 6, 13, 9, 6, 5, 8, 8, 4, 8, 11, 4]",<class 'list'>,<class 'int'>,14
14284,"[12, 12, 0, 0, 9, 4, 5, 5, 9]",<class 'list'>,<class 'int'>,9
14285,"[10, 9, 2, 1, 12, 8, 10, 2, 13, 0, 7]",<class 'list'>,<class 'int'>,11
14286,"[14, 14, 9, 1, 9, 0, 7, 9, 1, 5, 5, 7, 8, 9]",<class 'list'>,<class 'int'>,14
14287,"[10, 1, 5, 4]",<class 'list'>,<class 'int'>,4
14288,"[3, 14, 0, 12, 4, 11, 14]",<class 'list'>,<class 'int'>,7
14289,"[9, 5, 2, 1, 6, 14, 0, 4, 0, 9, 8, 2]",<class 'list'>,<class 'int'>,12
14290,"[3, 8, 13, 0, 6, 14, 1, 6, 1, 7, 4, 6, 3, 13]",<class 'list'>,<class 'int'>,14
14291,"[9, 9, 6, 1, 3, 2, 0, 0, 2, 5, 1]",<class 'list'>,<class 'int'>,11
14292,"[2, 4, 5]",<class 'list'>,<class 'int'>,3
14293,"[2, 1, 13, 14, 13, 13, 11, 13, 12, 7]",<class 'list'>,<class 'int'>,10
14294,"[3, 2, 13]",<class 'list'>,<class 'int'>,3
14295,"[13, 5, 5, 10, 3, 0, 7, 2, 3, 11, 14, 5]",<class 'list'>,<class 'int'>,12
14296,"[2, 10, 2, 6, 0, 3, 9, 2, 11, 14, 10, 10, 14]",<class 'list'>,<class 'int'>,13
14297,"[7, 4, 12, 8]",<class 'list'>,<class 'int'>,4
14298,"[14, 7, 4, 3, 13, 12, 10, 12, 0, 0, 14]",<class 'list'>,<class 'int'>,11
14299,"[2, 10, 5, 4, 9, 11, 4, 10, 8, 3, 9, 7, 2]",<class 'list'>,<class 'int'>,13
14300,"[8, 11, 13, 8, 11, 2, 0, 1, 2, 0, 3, 5, 8, 14]",<class 'list'>,<class 'int'>,14
14301,"[11, 2, 11, 14, 10, 10, 13, 13, 9, 4, 5, 5]",<class 'list'>,<class 'int'>,12
14302,"[5, 1, 9]",<class 'list'>,<class 'int'>,3
14303,"[14, 6, 1]",<class 'list'>,<class 'int'>,3
14304,"[12, 13, 14]",<class 'list'>,<class 'int'>,3
14305,"[13, 14, 4, 6, 4, 10, 1, 4, 13, 2, 14, 4]",<class 'list'>,<class 'int'>,12
14306,"[0, 8, 5, 9, 8, 1]",<class 'list'>,<class 'int'>,6
14307,"[2, 14, 1, 13, 4, 11, 7, 3, 8, 5, 5, 14, 8]",<class 'list'>,<class 'int'>,13
14308,"[8, 5, 5, 6, 6]",<class 'list'>,<class 'int'>,5
14309,"[8, 0, 3, 14, 12, 3, 12, 4, 13, 8, 10, 7]",<class 'list'>,<class 'int'>,12
14310,"[14, 5, 6, 2]",<class 'list'>,<class 'int'>,4
14311,"[14, 7, 14, 6, 3, 7, 12]",<class 'list'>,<class 'int'>,7
14312,"[5, 3, 1, 3]",<class 'list'>,<class 'int'>,4
14313,"[14, 10, 0, 4, 0, 6, 12, 6, 8, 0, 1]",<class 'list'>,<class 'int'>,11
14314,"[0, 7, 5, 0, 5, 7, 13, 0, 12, 14, 1, 11, 3]",<class 'list'>,<class 'int'>,13
14315,"[5, 13, 1, 3, 14, 14, 10, 13]",<class 'list'>,<class 'int'>,8
14316,"[5, 11, 13, 1, 13, 5, 0, 1, 14]",<class 'list'>,<class 'int'>,9
14317,"[12, 8, 3, 9]",<class 'list'>,<class 'int'>,4
14318,"[11, 5, 0, 0, 12, 7, 11, 7, 13, 8]",<class 'list'>,<class 'int'>,10
14319,"[7, 5, 6, 2, 13]",<class 'list'>,<class 'int'>,5
14320,"[11, 13, 2, 10, 12, 9, 7, 3, 4, 9, 9, 2, 3]",<class 'list'>,<class 'int'>,13
14321,"[8, 9, 7]",<class 'list'>,<class 'int'>,3
14322,"[1, 3, 13, 2, 2, 9, 13, 0, 2, 10, 0, 2, 9, 5]",<class 'list'>,<class 'int'>,14
14323,"[0, 6, 8, 11, 1, 5, 2, 7, 5, 4, 7, 11, 9]",<class 'list'>,<class 'int'>,13
14324,"[7, 9, 7, 12, 2, 14, 2, 6, 13]",<class 'list'>,<class 'int'>,9
14325,"[0, 6, 10, 6, 14]",<class 'list'>,<class 'int'>,5
14326,"[11, 14, 2, 0, 0, 6, 9, 3, 5, 8, 10]",<class 'list'>,<class 'int'>,11
14327,"[5, 10, 2, 9, 11, 3, 0]",<class 'list'>,<class 'int'>,7
14328,"[5, 13, 1, 5, 5, 8, 13, 12, 14]",<class 'list'>,<class 'int'>,9
14329,"[0, 13, 0, 7, 10, 11, 3, 1, 5, 5]",<class 'list'>,<class 'int'>,10
14330,"[9, 1, 9, 0, 6, 7, 1, 4]",<class 'list'>,<class 'int'>,8
14331,"[8, 2, 5, 4]",<class 'list'>,<class 'int'>,4
14332,"[5, 1, 7, 6, 14, 10, 4, 11, 8, 2, 0, 8]",<class 'list'>,<class 'int'>,12
14333,"[3, 8, 0]",<class 'list'>,<class 'int'>,3
14334,"[4, 1, 2, 11]",<class 'list'>,<class 'int'>,4
14335,"[12, 14, 6, 2, 8, 6]",<class 'list'>,<class 'int'>,6
14336,"[1, 8, 3, 13, 14]",<class 'list'>,<class 'int'>,5
14337,"[14, 13, 4, 5]",<class 'list'>,<class 'int'>,4
14338,"[7, 6, 3, 1, 2, 6, 13, 7]",<class 'list'>,<class 'int'>,8
14339,"[1, 13, 11, 4, 1, 2, 8, 5, 14, 12, 10, 1, 4]",<class 'list'>,<class 'int'>,13
14340,"[3, 3, 3]",<class 'list'>,<class 'int'>,3
14341,"[7, 10, 14, 0, 10, 10, 6, 9, 4, 9]",<class 'list'>,<class 'int'>,10
14342,"[9, 12, 9, 8, 12, 13, 11, 4, 8, 4, 5, 10, 5]",<class 'list'>,<class 'int'>,13
14343,"[5, 3, 10, 11, 12, 11, 9, 2, 4, 10, 14, 14, 5, 2]",<class 'list'>,<class 'int'>,14
14344,"[7, 0, 4, 10]",<class 'list'>,<class 'int'>,4
14345,"[13, 8, 3, 1, 3, 1, 10, 1, 11, 10, 10, 5]",<class 'list'>,<class 'int'>,12
14346,"[2, 2, 14, 1, 7, 14]",<class 'list'>,<class 'int'>,6
14347,"[9, 11, 14, 4, 10, 7, 4, 6, 6]",<class 'list'>,<class 'int'>,9
14348,"[11, 3, 12, 6]",<class 'list'>,<class 'int'>,4
14349,"[13, 12, 3, 5, 1, 0, 12, 13, 5]",<class 'list'>,<class 'int'>,9
14350,"[3, 11, 1, 9, 8, 5, 4, 1, 1, 13, 1, 2, 6]",<class 'list'>,<class 'int'>,13
14351,"[2, 2, 8]",<class 'list'>,<class 'int'>,3
14352,"[3, 4, 11, 10, 2, 11]",<class 'list'>,<class 'int'>,6
14353,"[3, 8, 8, 6, 13]",<class 'list'>,<class 'int'>,5
14354,"[8, 6, 13, 8, 5, 7, 9, 14]",<class 'list'>,<class 'int'>,8
14355,"[2, 8, 9, 0, 6]",<class 'list'>,<class 'int'>,5
14356,"[6, 4, 0]",<class 'list'>,<class 'int'>,3
14357,"[8, 5, 5, 0, 10, 13]",<class 'list'>,<class 'int'>,6
14358,"[9, 3, 11, 6, 0, 13, 4, 2, 2, 13, 0, 11, 9]",<class 'list'>,<class 'int'>,13
14359,"[13, 1, 14, 10, 3, 7, 8, 1, 4, 10, 1, 10]",<class 'list'>,<class 'int'>,12
14360,"[4, 12, 5, 11, 7, 4, 5, 8, 11, 7, 12]",<class 'list'>,<class 'int'>,11
14361,"[8, 14, 5, 2, 11, 2, 0, 7, 8, 13, 14, 8, 13]",<class 'list'>,<class 'int'>,13
14362,"[2, 4, 5]",<class 'list'>,<class 'int'>,3
14363,"[4, 8, 1, 2]",<class 'list'>,<class 'int'>,4
14364,"[7, 14, 2, 1, 6, 9, 14, 3, 5, 11, 0, 7]",<class 'list'>,<class 'int'>,12
14365,"[2, 4, 8, 6, 11]",<class 'list'>,<class 'int'>,5
14366,"[3, 9, 12, 8, 5, 11]",<class 'list'>,<class 'int'>,6
14367,"[1, 0, 4, 1, 1, 1, 10, 4, 4, 9, 12]",<class 'list'>,<class 'int'>,11
14368,"[3, 11, 0, 2, 12, 8, 12, 6, 12, 8, 10]",<class 'list'>,<class 'int'>,11
14369,"[2, 5, 13, 9, 4, 3, 7, 1, 7, 4, 7, 13, 6, 11]",<class 'list'>,<class 'int'>,14
14370,"[13, 8, 4, 3, 3, 6, 14]",<class 'list'>,<class 'int'>,7
14371,"[2, 12, 10, 6, 14, 6, 3, 14, 0]",<class 'list'>,<class 'int'>,9
14372,"[10, 13, 2, 8, 12, 7, 13, 8, 5, 4, 7, 8, 14]",<class 'list'>,<class 'int'>,13
14373,"[4, 1, 3, 3, 2]",<class 'list'>,<class 'int'>,5
14374,"[8, 8, 9, 11, 1, 7, 6, 5, 11, 12, 4, 8, 1]",<class 'list'>,<class 'int'>,13
14375,"[14, 14, 2, 8, 1, 8, 5, 3, 4, 11, 5]",<class 'list'>,<class 'int'>,11
14376,"[2, 7, 1, 1, 12, 9, 8, 1]",<class 'list'>,<class 'int'>,8
14377,"[12, 5, 2, 5, 0, 12, 13, 14]",<class 'list'>,<class 'int'>,8
14378,"[6, 7, 3, 14, 2, 10, 2, 5]",<class 'list'>,<class 'int'>,8
14379,"[1, 13, 12, 10, 3]",<class 'list'>,<class 'int'>,5
14380,"[12, 7, 13, 14, 2, 8, 7, 14, 13]",<class 'list'>,<class 'int'>,9
14381,"[10, 10, 13, 9, 1, 6, 10, 6, 13, 4, 7]",<class 'list'>,<class 'int'>,11
14382,"[14, 7, 9, 2]",<class 'list'>,<class 'int'>,4
14383,"[7, 9, 7, 1, 2, 9, 4, 5]",<class 'list'>,<class 'int'>,8
14384,"[2, 14, 0, 2, 14, 5, 14, 1, 13, 7, 2, 4, 8]",<class 'list'>,<class 'int'>,13
14385,"[3, 7, 4, 11, 3, 3, 9, 1, 13, 8, 13, 3]",<class 'list'>,<class 'int'>,12
14386,"[12, 5, 3, 12, 3, 10, 9, 3, 1]",<class 'list'>,<class 'int'>,9
14387,"[9, 0, 3, 10, 7, 6, 9, 2, 9, 6, 11, 4, 1]",<class 'list'>,<class 'int'>,13
14388,"[10, 11, 2, 1, 6, 13, 11, 7]",<class 'list'>,<class 'int'>,8
14389,"[6, 3, 0, 8, 4, 1, 12, 14]",<class 'list'>,<class 'int'>,8
14390,"[1, 13, 7, 0, 13, 11, 6, 0, 12, 9, 14, 9, 3, 7]",<class 'list'>,<class 'int'>,14
14391,"[13, 6, 11, 12, 10, 5, 5, 13, 14, 2, 7, 3]",<class 'list'>,<class 'int'>,12
14392,"[8, 10, 0]",<class 'list'>,<class 'int'>,3
14393,"[14, 2, 8, 0]",<class 'list'>,<class 'int'>,4
14394,"[14, 10, 7, 13, 3, 1, 5, 3, 0, 3, 7, 7, 10]",<class 'list'>,<class 'int'>,13
14395,"[11, 2, 0, 9, 3, 11, 10, 8, 14, 0]",<class 'list'>,<class 'int'>,10
14396,"[7, 9, 1]",<class 'list'>,<class 'int'>,3
14397,"[12, 5, 2, 12, 13, 14, 11, 8, 0]",<class 'list'>,<class 'int'>,9
14398,"[14, 5, 6, 6, 7, 0, 0, 13, 1, 0, 4]",<class 'list'>,<class 'int'>,11
14399,"[7, 12, 0, 3, 5, 13]",<class 'list'>,<class 'int'>,6
14400,"[14, 9, 10, 2, 0, 12, 5, 3, 8, 4, 13, 1, 13]",<class 'list'>,<class 'int'>,13
14401,"[3, 1, 5, 9, 7, 1, 7, 0, 12, 9, 11, 9, 13, 11]",<class 'list'>,<class 'int'>,14
14402,"[0, 8, 4, 8, 5]",<class 'list'>,<class 'int'>,5
14403,"[11, 13, 11, 9, 10, 12, 13, 1]",<class 'list'>,<class 'int'>,8
14404,"[2, 2, 5]",<class 'list'>,<class 'int'>,3
14405,"[1, 2, 8, 11, 6, 14, 2, 5, 6, 14, 6, 13]",<class 'list'>,<class 'int'>,12
14406,"[10, 3, 7, 3, 2, 0, 7, 12, 7, 2, 0, 2, 3]",<class 'list'>,<class 'int'>,13
14407,"[11, 7, 3, 0, 2, 9, 11, 1, 6, 2, 10, 1]",<class 'list'>,<class 'int'>,12
14408,"[5, 0, 6, 5, 9, 8, 5, 9, 9, 4, 5]",<class 'list'>,<class 'int'>,11
14409,"[4, 9, 10, 4, 11]",<class 'list'>,<class 'int'>,5
14410,"[13, 5, 0, 12, 8, 12, 11, 11, 3, 3, 12]",<class 'list'>,<class 'int'>,11
14411,"[10, 0, 0, 4, 0, 4, 10, 13, 7, 7, 4]",<class 'list'>,<class 'int'>,11
14412,"[4, 8, 14, 9]",<class 'list'>,<class 'int'>,4
14413,"[6, 13, 5, 14, 0, 13, 7, 9]",<class 'list'>,<class 'int'>,8
14414,"[5, 13, 13, 10, 3]",<class 'list'>,<class 'int'>,5
14415,"[7, 12, 10, 2, 5, 1, 11, 4, 11, 8, 4, 10, 3, 13]",<class 'list'>,<class 'int'>,14
14416,"[11, 9, 7, 3, 4, 5]",<class 'list'>,<class 'int'>,6
14417,"[12, 12, 11, 14, 13, 14, 12, 3, 6]",<class 'list'>,<class 'int'>,9
14418,"[4, 4, 5, 1, 6, 0, 5, 1, 1, 9, 4, 9, 5]",<class 'list'>,<class 'int'>,13
14419,"[4, 9, 11, 9, 5]",<class 'list'>,<class 'int'>,5
14420,"[2, 4, 9, 14, 14, 8, 9, 12, 8, 5, 11, 7, 3, 5]",<class 'list'>,<class 'int'>,14
14421,"[1, 2, 14, 8, 1, 3, 13, 6, 2, 14, 2, 2, 3]",<class 'list'>,<class 'int'>,13
14422,"[0, 14, 1, 12, 5, 11]",<class 'list'>,<class 'int'>,6
14423,"[2, 2, 0, 3, 9, 10, 6, 3, 4, 10, 4, 2]",<class 'list'>,<class 'int'>,12
14424,"[0, 10, 6, 9, 8, 2]",<class 'list'>,<class 'int'>,6
14425,"[2, 2, 9, 8, 1, 14, 9, 4, 13, 5, 10, 12, 12]",<class 'list'>,<class 'int'>,13
